airport_name,airport_abbr,delay_sum,total_number_flights,perc_delay,avg_perc_delay,lat,lng
Cherry Capital Airport,TVC,1010.04,4575.0,0.22077377049180327,0.20823556298332133,44.7369137,-85.5796208
Cheyenne Regional Airport,CYS,96.01,479.0,0.2004384133611691,0.20823556298332133,41.15298629999999,-104.810231
Chicago Midway Airport,MDW,18301.97,91559.0,0.19989263753426753,0.20823556298332133,41.78677589999999,-87.7521884
Chicago O'hare International Airport,ORD,92928.02000000002,367499.0,0.2528660486150983,0.20823556298332133,41.9741625,-87.9073214
Chippewa County International Airport,CIU,133.98000000000002,730.0,0.18353424657534248,0.20823556298332133,46.2577577,-84.4744174
Chippewa Valley Regional Airport,EAU,243.01999999999998,788.0,0.3084010152284264,0.20823556298332133,44.8622211,-91.48222190000001
Chisholm-Hibbing Airport,HIB,62.989999999999995,676.0,0.09318047337278106,0.20823556298332133,47.3921561,-92.8421461
Cincinnati / Northern Kentucky International Airport,CVG,11074.949999999999,52844.0,0.20957819241541137,0.20823556298332133,39.0532746,-84.6630165
Cleveland Hopkins International Airport,CLE,11402.919999999998,53643.0,0.21257051246201739,0.20823556298332133,41.4057985,-81.8538669
Colorado Springs Airport,COS,2671.0199999999995,10785.0,0.24766063977746866,0.20823556298332133,38.801712,-104.7026039
Columbia Metropolitan Airport,CAE,1633.99,8076.0,0.20232664685487867,0.20823556298332133,33.941917,-81.1220015
Columbia Regional Airport,COU,759.01,2469.0,0.3074159578776833,0.20823556298332133,38.8155232,-92.2193772
Columbus Metropolitan Airport,CSG,237.99,1377.0,0.1728322440087146,0.20823556298332133,32.5143625,-84.9410549
Cordova Municipal Airport,CDV,149.95,782.0,0.19175191815856776,0.20823556298332133,60.5436437,-145.7259285
Corpus Christi International Airport,CRP,1499.05,6238.0,0.24030939403655016,0.20823556298332133,27.7724235,-97.5021829
Craven County Regional Airport,EWN,577.01,2494.0,0.23135926222935044,0.20823556298332133,35.0776455,-77.0382005
Dallas Love Field,DAL,16422.030000000002,78634.0,0.20884134089579573,0.20823556298332133,32.8481029,-96.8512063
Dallas/Fort Worth International Airport,DFW,76313.98000000001,319212.0,0.23906989712166213,0.20823556298332133,32.8998091,-97.0403352
Dane County Regional Airport,MSN,3286.08,15173.0,0.2165741778158571,0.20823556298332133,43.1390659,-89.33641279999999
Dayton International Airport,DAY,3364.9800000000005,15060.0,0.22343824701195222,0.20823556298332133,39.90252419999999,-84.2217719
Daytona Beach International Airport,DAB,633.99,3640.0,0.17417307692307693,0.20823556298332133,29.1832134,-81.0532273
Deadhorse Airport,SCC,113.02000000000001,1065.0,0.10612206572769954,0.20823556298332133,70.1984121,-148.4611183
Del Rio International Airport,DRT,111.00000000000003,656.0,0.16920731707317077,0.20823556298332133,29.3705861,-100.920213
Delta County Airport,ESC,126.02,676.0,0.18642011834319527,0.20823556298332133,45.7180875,-87.09450919999999
Denver International Airport,DEN,54852.86999999997,265815.0,0.20635731617854514,0.20823556298332133,39.8560963,-104.6737376
Des Moines International Airport,DSM,3835.959999999999,18133.0,0.21154580047427338,0.20823556298332133,41.5341333,-93.6587958
Detroit Metro Airport,DTW,27439.940000000006,171856.0,0.1596682105949167,0.20823556298332133,42.2161722,-83.3553842
Devils Lake Municipal Airport,DVL,168.98,679.0,0.24886597938144328,0.20823556298332133,48.1090636,-98.9038973
