year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",5991,676,164.02,23.57,301.72,0,186.68,9,8,37774,12897,3224,10565,0,11088
2019,9,DL,Delta Air Lines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",628,49,24.99,1.4,9.42,0,13.19,0,0,3500,1856,159,730,0,755
2019,9,DL,Delta Air Lines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",118,6,0.88,0,1.23,0,3.89,4,0,221,50,0,33,0,138
2019,9,DL,Delta Air Lines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",107,8,4.29,0,1.33,0,2.37,0,0,218,123,0,32,0,63
2019,9,DL,Delta Air Lines Inc.,OGG,"Kahului, HI: Kahului Airport",78,7,2,1,3,0,1,0,0,546,187,209,47,0,103
2019,9,DL,Delta Air Lines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",161,13,8.89,1,1.27,0,1.83,0,0,952,627,73,45,0,207
2019,9,DL,Delta Air Lines Inc.,OMA,"Omaha, NE: Eppley Airfield",157,11,5.25,1.24,3.87,0,0.64,0,0,639,388,59,142,0,50
2019,9,DL,Delta Air Lines Inc.,ONT,"Ontario, CA: Ontario International",84,15,5.07,0,4.55,0,5.38,0,0,1355,654,0,169,0,532
2019,9,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1167,246,46.24,7.1,163.47,0,29.19,10,5,21093,3157,1491,14548,0,1897
2019,9,DL,Delta Air Lines Inc.,ORF,"Norfolk, VA: Norfolk International",230,12,6.75,1,3.4,0,0.85,2,0,785,394,96,106,0,189
2019,9,DL,Delta Air Lines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",389,33,7.97,1.58,11.61,0,11.84,26,0,2505,916,655,433,0,501
2019,9,DL,Delta Air Lines Inc.,PDX,"Portland, OR: Portland International",709,70,26.36,1,31.74,0,10.9,0,1,3280,2004,33,794,0,449
2019,9,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",567,55,19.61,2.04,23.46,0,9.88,0,0,2820,1057,92,1044,0,627
2019,9,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",612,82,26,3.32,37.52,0,15.16,0,3,3603,1353,192,1353,0,705
2019,9,DL,Delta Air Lines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",363,25,10.36,1,9.01,0,4.63,0,1,1535,756,111,350,0,318
2019,9,DL,Delta Air Lines Inc.,PNS,"Pensacola, FL: Pensacola International",232,15,10.9,3,1.07,0,0.02,0,0,1152,447,670,33,0,2
2019,9,DL,Delta Air Lines Inc.,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",30,2,0,0.96,1.04,0,0,0,0,41,0,25,16,0,0
2019,9,DL,Delta Air Lines Inc.,PVD,"Providence, RI: Theodore Francis Green State",115,8,3.91,0.29,3.51,0,0.29,0,0,376,249,10,107,0,10
